Eriğini,Erik,"""Your"" -OR- ""his/her/its"" plum",Erik-(i)n-i -OR- Erik-i-(n)i,Both ways
Eriğinin,Erik,"Of ""your"" -OR- ""his/her/its"" plum",Erik-(i)n-in -OR- erik-i-(n)in,Both ways
Eriğe,Erik,To (the) plum,Erik-e,
Eriğine,Erik,"To ""your"" -OR- ""his/her/its"" plum",Erik-(i)n-e -OR- erik-i-(n)e,Both ways
Eriklerine,Erik,"To ""their plum"" -OR- ""his/her/its plums""",Erik-leri-(n)e -OR- erik-ler-i-(n)e,Both ways
Erikte,Erik,At (the) plum,Erik-de,
Eriğinde,Erik,"At ""your"" -OR- ""his/her/its"" plum",Erik-(i)n-de -OR- erik-i-(n)de,Both ways
Erikten,Erik,From (the) plum,Erik-den,
Eriğinden,Erik,"From ""your"" -OR- ""his/her/its"" plum",Erik-(i)n-den -OR- erik-i-(n)den,Both ways
Eriğindeki,Erik,"The one that is at ""your"" -OR- ""his/her/its"" plum",Erik-(i)n-de-ki - OR- erik-i-(n)de-ki,Both ways
Eriğiyle,Erik,With his/her/its plum,Erik-i-(y)le,
Eriğinin,Erik,"Of ""your"" -Or- ""his/her/its"" plum",Erik-(i)n-in -OR- erik-i-(n)in,Both ways
Eriğindeki,Erik,"The one that is at ""your"" -OR- ""his/her/its"" plum",Erik-(i)n-de-ki - OR- erik-i-(n)de-ki,Both ways
Eriğince,Erik,"After ""your"" -OR- ""his/her/its"" plum",Erik-(i)n-ce -OR- erik-i-(n)ce,Both ways
Eriksi,Erik,Plumish,Erik-si,
Gülüm,Gül,My rose,Gül-(i)m,
Erikteki,Erik,The one that is at (the) plum,Erik-de-ki,
Eriktekilerden,Erik,The ones that are from (the) plum,Erik-de-ki-ler-den,
Eriklerdeki,Erik,The ones that are at (the) plum,Erik-ler-de-ki,
Kitabı,Kitap,(The) book,Kitap-i,
Ağacı,Ağaç,(The) tree,Ağaç-i,
Haluğ,??,??,??,There is no such a word as Haluğ?
Yum,??,??,??,There is no such a word as Haluğ?
Eriğim,Erik,My plum / I am plum,Erik-(i)m / Erik-im,
Kayısıyım,Kayısı,I am apricot,Kayısı-(y)ım,
Eriksem,Erik,If I am plum,Erik-se-m,
Eriksen,Erik,If you are plum,Erik-se-n,
Erikse,Erik,If he/she/it is plum,Erik-se,
Erikseniz,Erik,If you are plum,Erik-se-niz,2nd person in plural
Erikseler,Erik,If they are plum,Erik-se-ler,
Erikti,Erik,He/she/it was plum,Erik-di,
Eriktiniz,Erik,You were plum,Erik-di-niz,2nd person in plural
Eriktiler,Erik,They were plum,Erik-di-ler,
Erikmiş,Erik,It was plum,Erik-miş,Rumor
Erikmişçesine,Erik,As if it was plum,Erik-miş-cesine,
Erikmiştir,Erik,It was plum,Erik-miş-dir,Rumor
Erikmişim,Erik,I was plum,Erik-miş-(i)m,Rumor
Erikmişsin,Erik,You were plum,Erik-miş-sin,Rumor
Erikmişsindir,Erik,You happened to be plum,Erik-miş-sin-dir,Rumor
Erikmişimdir,Erik,I happened to be plum,Erik-miş-im-dir,Rumor
Erikmişiz,Erik,We were plum,Erik-miş-iz,Rumor
Erikmişizdir,Erik,We happened to be plum,Erik-miş-iz-dir,Rumor
Erikmişsiniz,Erik,You were plum,Erik-miş-siniz,2nd person in plural + rumor
Erikmişsinizdir,Erik,You happened to be plum,Erik-miş-siniz-dir,2nd person in plural + rumor
Erikmişler,Erik,They were plum,Erik-miş-ler,Rumor
Erikmişlerdir,Erik,They happened to be plum,Erik-miş-ler-dir,Rumor
Erikmişimcesine,Erik,As if I was plum,Erik-miş-im-cesine,
Erikmişsincesine,Erik,As if you were plum,Erik-miş-sin-cesine,
Erikmişizcesine,Erik,As if we were plum,Erik-miş-iz-cesine,
Erikmişsinizcesine,Erik,As if you were plum,Erik-miş-siniz-cesine,2nd person in plural
Erikmişlercesine,Erik,As if they were plum,Erik-miş-ler-cesine,
Erikler,Erik,Plums,Erik-ler,
Eriğim,Erik,My plum / I am plum,Erik-(i)m / Erik-im,
Eriksin,Erik,You are plum,Erik-sin,
Erik,Erik,Plum / he/she/it is plum,Erik / Erik,
Eriğiz,Erik,We are plum,Erik-iz,
Eriksiniz,Erik,You are plum,Erik-siniz,2nd person in plural
Erikler,Erik,They are plum,Erik-ler,
Eriktir,Erik,It is plum,Erik-dir,Assumption
Eriktirler,Erik,They are plum,Erik-dir-ler,Assumption
Erikken,Erik,While he/she/it was plum,Erik-(i)ken,
Kayısıyken,Kayısı,While he/she/it was apricot,Kayısı-(y)ken,
Tüymüş,Tüy,He/she/it was feather,Tüy-(i)miş,Rumor
Kötüymüş,Kötü,He/she/it is bad,Kötü-(y)miş,Rumor
Tersyüz,Ters,Inside out,Ters-yüz,
Yüz,Yüz,Face / Hundred,Yüz,Double meaning
Muş,Muş,--,--,This is a suffix
Ad,Ad,Name,Ad,
Soyad,Soyad,Surname,Soyad,Soy+ad = Lineage+name
